id;source;type;rule;severity;debt;tags;file;startLine;startColumn;endLine;endColumn
AY_Oq4InK2zjGMHF6PgC;SonarQube;CODE_SMELL;java:S1135;INFO;0;cwe;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;65;0;65;51
AY_Oq4InK2zjGMHF6Pf9;SonarQube;CODE_SMELL;java:S1948;CRITICAL;30;cwe,serialization;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;92;17;92;21
AY_Oq4InK2zjGMHF6Pf-;SonarQube;CODE_SMELL;java:S1948;CRITICAL;30;cwe,serialization;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;99;24;99;35
AY_Oq4InK2zjGMHF6Pf_;SonarQube;CODE_SMELL;java:S5993;MAJOR;2;design;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;114;4;114;10
AY_Oq4InK2zjGMHF6PgD;SonarQube;CODE_SMELL;java:S1135;INFO;0;cwe;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;123;0;123;73
AY_Oq4InK2zjGMHF6PgA;SonarQube;CODE_SMELL;java:S5993;MAJOR;2;design;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;124;4;124;10
AY_Oq4InK2zjGMHF6PgE;SonarQube;CODE_SMELL;java:S1135;INFO;0;cwe;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;134;0;134;73
AY_Oq4InK2zjGMHF6PgB;SonarQube;CODE_SMELL;java:S5993;MAJOR;2;design;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;136;4;136;10
AY_Oq4InK2zjGMHF6PgF;SonarQube;CODE_SMELL;java:S2975;BLOCKER;30;suspicious;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;148;18;148;23
AY_Oq4InK2zjGMHF6PgI;SonarQube;CODE_SMELL;java:S1182;MINOR;20;cert,convention,cwe;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;148;18;148;23
AY_Oq4InK2zjGMHF6PgG;SonarQube;CODE_SMELL;java:S1874;MINOR;15;cert,cwe,obsolete;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;150;35;150;46
AY_Oq4InK2zjGMHF6PgH;SonarQube;BUG;java:S2225;MAJOR;5;cert,cwe;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;154;15;154;19
AY_Oq4InK2zjGMHF6PgJ;SonarQube;CODE_SMELL;java:S1135;INFO;0;cwe;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;213;0;213;65
AY_Oq4InK2zjGMHF6PgK;SonarQube;CODE_SMELL;java:S1135;INFO;0;cwe;src/argouml-app/src/org/argouml/application/api/AbstractArgoJPanel.java;221;0;221;65
AY_Oq4IfK2zjGMHF6Pfz;SonarQube;CODE_SMELL;java:S1133;INFO;10;obsolete;src/argouml-app/src/org/argouml/application/api/Argo.java;68;31;68;38
AY_Oq4IfK2zjGMHF6Pfx;SonarQube;CODE_SMELL;java:S1192;CRITICAL;10;design;src/argouml-app/src/org/argouml/application/api/Argo.java;92;23;92;32
AY_Oq4IfK2zjGMHF6Pfu;SonarQube;CODE_SMELL;java:S1192;CRITICAL;8;design;src/argouml-app/src/org/argouml/application/api/Argo.java;92;34;92;46
AY_Oq4IfK2zjGMHF6Pfw;SonarQube;CODE_SMELL;java:S1192;CRITICAL;36;design;src/argouml-app/src/org/argouml/application/api/Argo.java;116;23;116;31
AY_Oq4IfK2zjGMHF6Pfv;SonarQube;CODE_SMELL;java:S1192;CRITICAL;16;design;src/argouml-app/src/org/argouml/application/api/Argo.java;128;33;128;40
AY_Oq4IfK2zjGMHF6Pft;SonarQube;CODE_SMELL;java:S1192;CRITICAL;8;design;src/argouml-app/src/org/argouml/application/api/Argo.java;134;33;134;41
AY_Oq4IfK2zjGMHF6Pfy;SonarQube;CODE_SMELL;java:S1192;CRITICAL;12;design;src/argouml-app/src/org/argouml/application/api/Argo.java;231;23;231;31
AY_Oq4IfK2zjGMHF6Pf0;SonarQube;CODE_SMELL;java:S1133;INFO;10;obsolete;src/argouml-app/src/org/argouml/application/api/Argo.java;360;31;360;52
AY_Oq4IfK2zjGMHF6Pf1;SonarQube;CODE_SMELL;java:S125;MAJOR;5;unused;src/argouml-app/src/org/argouml/application/api/Argo.java;392;4;392;50
AY_Oq4IfK2zjGMHF6Pf2;SonarQube;CODE_SMELL;java:S125;MAJOR;5;unused;src/argouml-app/src/org/argouml/application/api/Argo.java;410;14;410;79
AY_Oq4IfK2zjGMHF6Pf3;SonarQube;CODE_SMELL;java:S1135;INFO;0;cwe;src/argouml-app/src/org/argouml/application/api/Argo.java;411;0;411;69
AY_Oq4IfK2zjGMHF6Pf4;SonarQube;CODE_SMELL;java:S3400;MINOR;5;confusing;src/argouml-app/src/org/argouml/application/api/Argo.java;421;15;421;22
AY_Oq4IkK2zjGMHF6Pf5;SonarQube;BUG;Web:S5254;MAJOR;0;accessibility,wcag2-a;src/argouml-app/src/org/argouml/application/api/package.html;1;0;1;6
AY_Oq4IkK2zjGMHF6Pf6;SonarQube;CODE_SMELL;Web:S1827;MAJOR;5;html5,obsolete;src/argouml-app/src/org/argouml/application/api/package.html;29;0;29;22
