id;source;type;rule;severity;file;startLine;startColumn;endLine;endColumn
871d753e-df46-4ed2-bd82-0d9f745366dc;Snyk;VULNERABILITY;javascript/PromiseNotCaughtGeneral;MINOR;app/code/Magento/AdminAnalytics/view/adminhtml/web/js/release-notification/modal/component-mixin.js;21;26;21;30
870e1226-4c6f-4315-b48e-2cd8e37a0ca0;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/AdminNotification/Model/System/Message/Baseurl.php;106;16;106;19
93414d3c-6c6a-4d3e-9541-f2bbe54de2d8;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/AdminNotification/Model/System/Message/CacheOutdated.php;67;16;67;19
9977db41-e87f-42c0-85e0-e88f0bbdc09d;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/AdvancedPricingImportExport/Model/Export/AdvancedPricing.php;284;13;284;37
64d9d0ba-cb06-45a6-bb69-37d99e4be99d;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Analytics/Model/Connector/Http/Client/Curl.php;91;13;91;36
4d972272-f93f-48ed-b791-5e5605b4761e;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/AsynchronousOperations/Model/MassSchedule.php;156;17;156;37
276ddf1a-b3c6-4ca3-ae26-a3e2eaf10f44;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/AsynchronousOperations/Model/ResourceModel/System/Message/Collection/Synchronized/Plugin.php;117;43;117;46
c86539fa-2039-4e7e-80eb-657571df96d0;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Authorization/Model/Acl/AclRetriever.php;94;13;94;36
fe8f5ed7-0edd-4d39-ac74-36b9bdd3531c;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Authorization/Model/ResourceModel/Rules.php;138;13;138;37
4ea23fd5-8aca-414a-851d-6c1a1df2da0b;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/AwsS3/Driver/AwsS3.php;97;13;97;36
