id;source;type;rule;severity;debt;tags;file;startLine;startColumn;endLine;endColumn
AZN5af6GudjsMjspMmC7;SonarQube;CODE_SMELL;php:S112;MAJOR;20;cwe,error-handling;app/autoload.php;20;14;20;24
AZN5af6GudjsMjspMmC8;SonarQube;CODE_SMELL;php:S112;MAJOR;20;cwe,error-handling;app/autoload.php;45;14;45;24
AZN5af6CudjsMjspMmC6;SonarQube;CODE_SMELL;php:S125;MAJOR;5;unused;app/bootstrap.php;13;0;13;30
AZN5afLqudjsMjspMlz2;SonarQube;CODE_SMELL;javascript:S4144;MAJOR;15;confusing,duplicate,suspicious;app/code/Magento/AdminAnalytics/view/adminhtml/web/js/modal/component.js;104;24;104;32
AZN5afLqudjsMjspMlz3;SonarQube;CODE_SMELL;javascript:S1301;MINOR;5;bad-practice;app/code/Magento/AdminAnalytics/view/adminhtml/web/js/modal/component.js;157;20;157;26
AZN5adROudjsMjspMlbE;SonarQube;CODE_SMELL;php:S131;CRITICAL;5;cwe;app/code/Magento/AdminNotification/Block/Grid/Renderer/Severity.php;51;8;51;14
AZN5adRcudjsMjspMlbF;SonarQube;CODE_SMELL;php:S110;MAJOR;270;design;app/code/Magento/AdminNotification/Block/Inbox.php;13;6;13;11
AZN5adPaudjsMjspMla5;SonarQube;CODE_SMELL;php:S3801;MAJOR;20;api-design,confusing;app/code/Magento/AdminNotification/Controller/Adminhtml/Notification/AjaxMarkAsRead.php;48;20;48;27
AZN5adPUudjsMjspMla4;SonarQube;CODE_SMELL;php:S1192;CRITICAL;8;design;app/code/Magento/AdminNotification/Controller/Adminhtml/Notification/Remove.php;48;40;48;54
AZN5adQFudjsMjspMla_;SonarQube;CODE_SMELL;php:S107;MAJOR;20;brain-overload;app/code/Magento/AdminNotification/Model/Feed.php;100;31;113;5
AZN5adQaudjsMjspMlbB;SonarQube;CODE_SMELL;php:S1172;MAJOR;5;unused;app/code/Magento/AdminNotification/Model/ResourceModel/Inbox.php;63;75;63;82
AZN5adQaudjsMjspMlbC;SonarQube;CODE_SMELL;php:S1172;MAJOR;5;unused;app/code/Magento/AdminNotification/Model/ResourceModel/Inbox.php;92;65;92;72
AZN5adQTudjsMjspMlbA;SonarQube;CODE_SMELL;php:S3776;CRITICAL;6;brain-overload;app/code/Magento/AdminNotification/Model/ResourceModel/System/Message/Collection/Synchronized.php;25;11;25;19
AZN5adP-udjsMjspMla9;SonarQube;CODE_SMELL;php:S1192;CRITICAL;8;design;app/code/Magento/AdminNotification/Model/System/Message/Baseurl.php;68;49;68;79
AZN5adO6udjsMjspMla1;SonarQube;CODE_SMELL;php:S3415;MAJOR;2;phpunit,suspicious,tests;app/code/Magento/AdminNotification/Test/Unit/Block/Grid/Renderer/NoticeTest.php;53;37;53;46
AZN5adPGudjsMjspMla3;SonarQube;CODE_SMELL;php:S1488;MINOR;2;clumsy;app/code/Magento/AdminNotification/Test/Unit/Block/ToolbarEntryTest.php;48;8;48;14
AZN5adQtudjsMjspMlbD;SonarQube;CODE_SMELL;php:S1192;CRITICAL;8;design;app/code/Magento/AdminNotification/view/adminhtml/templates/toolbar_entry.phtml;16;55;16;85
AZN5aeLPudjsMjspMlpE;SonarQube;CODE_SMELL;php:S107;MAJOR;20;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Export/AdvancedPricing.php;107;31;126;5
AZN5aeLPudjsMjspMlpF;SonarQube;CODE_SMELL;php:S3776;CRITICAL;13;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Export/AdvancedPricing.php;385;14;385;22
AZN5aeLPudjsMjspMlpG;SonarQube;CODE_SMELL;php:S3776;CRITICAL;24;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Export/AdvancedPricing.php;515;14;515;22
AZN5aeLEudjsMjspMlo-;SonarQube;CODE_SMELL;php:S1448;MAJOR;60;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;21;0;21;5
AZN5aeLEudjsMjspMlo_;SonarQube;CODE_SMELL;php:S1068;MAJOR;5;unused;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;44;18;44;38
AZN5aeLEudjsMjspMlox;SonarQube;CODE_SMELL;php:S107;MAJOR;20;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;199;31;216;5
AZN5aeLEudjsMjspMloy;SonarQube;CODE_SMELL;php:S1142;MAJOR;20;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;269;20;269;31
AZN5aeLEudjsMjspMlpA;SonarQube;CODE_SMELL;php:S4144;MAJOR;15;confusing,duplicate,suspicious;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;368;20;368;42
AZN5aeLEudjsMjspMlo0;SonarQube;CODE_SMELL;php:S3776;CRITICAL;30;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;382;14;382;22
AZN5aeLEudjsMjspMloz;SonarQube;CODE_SMELL;php:S1142;MAJOR;20;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;492;23;492;46
AZN5aeLEudjsMjspMlo4;SonarQube;CODE_SMELL;php:S1117;MAJOR;5;pitfall,suspicious;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;495;8;495;31
AZN5aeLEudjsMjspMlo2;SonarQube;CODE_SMELL;php:S1192;CRITICAL;8;design;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;508;80;508;89
AZN5aeLEudjsMjspMlo3;SonarQube;CODE_SMELL;php:S1488;MINOR;2;clumsy;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;547;8;547;15
AZN5aeLEudjsMjspMlo5;SonarQube;CODE_SMELL;php:S1117;MAJOR;5;pitfall,suspicious;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;600;8;600;31
AZN5aeLEudjsMjspMlo9;SonarQube;CODE_SMELL;php:S3626;MINOR;1;clumsy,redundant;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;636;16;636;25
AZN5aeLEudjsMjspMlo1;SonarQube;CODE_SMELL;php:S3776;CRITICAL;11;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;713;12;713;20
AZN5aeLEudjsMjspMlo6;SonarQube;CODE_SMELL;php:S1117;MAJOR;5;pitfall,suspicious;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;756;12;756;35
AZN5aeLEudjsMjspMlo7;SonarQube;CODE_SMELL;php:S1117;MAJOR;5;pitfall,suspicious;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;796;8;796;31
AZN5aeLEudjsMjspMlo8;SonarQube;CODE_SMELL;php:S1117;MAJOR;5;pitfall,suspicious;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing.php;816;8;816;31
AZN5aeK4udjsMjspMlov;SonarQube;CODE_SMELL;php:S3776;CRITICAL;7;brain-overload;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing/Validator/TierPrice.php;110;11;110;19
AZN5aeK-udjsMjspMlow;SonarQube;CODE_SMELL;php:S1066;MAJOR;5;clumsy;app/code/Magento/AdvancedPricingImportExport/Model/Import/AdvancedPricing/Validator/Website.php;61;12;61;14
AZN5aeLKudjsMjspMlpB;SonarQube;CODE_SMELL;php:S1172;MAJOR;5;unused;app/code/Magento/AdvancedPricingImportExport/Model/Indexer/Product/Price/Plugin/Import.php;31;61;31;69
AZN5aeLKudjsMjspMlpC;SonarQube;CODE_SMELL;php:S1172;MAJOR;5;unused;app/code/Magento/AdvancedPricingImportExport/Model/Indexer/Product/Price/Plugin/Import.php;43;63;43;71
AZN5aeLludjsMjspMlpu;SonarQube;CODE_SMELL;php:S1192;CRITICAL;8;design;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Export/AdvancedPricingTest.php;232;12;232;38
AZN5aeLludjsMjspMlps;SonarQube;CODE_SMELL;php:S1192;CRITICAL;8;design;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Export/AdvancedPricingTest.php;233;12;233;34
AZN5aeLludjsMjspMlpt;SonarQube;CODE_SMELL;php:S1192;CRITICAL;8;design;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Export/AdvancedPricingTest.php;239;12;239;31
AZN5aeLludjsMjspMlpo;SonarQube;CODE_SMELL;php:S3011;MAJOR;30;;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Export/AdvancedPricingTest.php;384;8;384;48
AZN5aeLludjsMjspMlpp;SonarQube;CODE_SMELL;php:S3011;MAJOR;30;;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Export/AdvancedPricingTest.php;385;15;385;53
AZN5aeLludjsMjspMlpq;SonarQube;CODE_SMELL;php:S3011;MAJOR;30;;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Export/AdvancedPricingTest.php;401;8;401;48
AZN5aeLludjsMjspMlpr;SonarQube;CODE_SMELL;php:S3011;MAJOR;30;;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Export/AdvancedPricingTest.php;402;8;402;54
AZN5aeLbudjsMjspMlpM;SonarQube;CODE_SMELL;php:S3011;MAJOR;30;;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Import/AdvancedPricing/Validator/TierPriceTest.php;368;8;368;48
AZN5aeLbudjsMjspMlpN;SonarQube;CODE_SMELL;php:S3011;MAJOR;30;;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Import/AdvancedPricing/Validator/TierPriceTest.php;370;15;370;53
AZN5aeLbudjsMjspMlpO;SonarQube;CODE_SMELL;php:S3011;MAJOR;30;;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Import/AdvancedPricing/Validator/TierPriceTest.php;386;8;386;48
AZN5aeLbudjsMjspMlpP;SonarQube;CODE_SMELL;php:S3011;MAJOR;30;;app/code/Magento/AdvancedPricingImportExport/Test/Unit/Model/Import/AdvancedPricing/Validator/TierPriceTest.php;387;8;387;54
