id;source;type;rule;severity;debt;tags;file;startLine;startColumn;endLine;endColumn
AY1VV_t5jmjV2RhC7bL4;SonarQube;CODE_SMELL;csharpsquid:S1118;MAJOR;10;design;ApiGateways/Mobile.Bff.Shopping/aggregator/Config/UrlsConfig.cs;6;21;6;38
AY1VV_t6jmjV2RhC7bL5;SonarQube;CODE_SMELL;csharpsquid:S1118;MAJOR;10;design;ApiGateways/Mobile.Bff.Shopping/aggregator/Config/UrlsConfig.cs;13;21;13;37
AY1VV_t6jmjV2RhC7bL8;SonarQube;CODE_SMELL;csharpsquid:S3400;MINOR;5;confusing;ApiGateways/Mobile.Bff.Shopping/aggregator/Config/UrlsConfig.cs;17;33;17;45
AY1VV_t6jmjV2RhC7bL6;SonarQube;CODE_SMELL;csharpsquid:S1118;MAJOR;10;design;ApiGateways/Mobile.Bff.Shopping/aggregator/Config/UrlsConfig.cs;20;21;20;37
AY1VV_t6jmjV2RhC7bL7;SonarQube;CODE_SMELL;csharpsquid:S3400;MINOR;5;confusing;ApiGateways/Mobile.Bff.Shopping/aggregator/Config/UrlsConfig.cs;22;33;22;46
AY1VV_tojmjV2RhC7bL3;SonarQube;CODE_SMELL;csharpsquid:S4487;CRITICAL;5;cwe,unused;ApiGateways/Mobile.Bff.Shopping/aggregator/Infrastructure/HttpClientAuthorizationDelegatingHandler.cs;14;75;14;82
AY1VV_tGjmjV2RhC7bL1;SonarQube;CODE_SMELL;external_roslyn:CA1822;INFO;0;;ApiGateways/Mobile.Bff.Shopping/aggregator/Services/BasketService.cs;37;27;37;42
AY1VV_tGjmjV2RhC7bL0;SonarQube;CODE_SMELL;external_roslyn:CA1822;INFO;0;;ApiGateways/Mobile.Bff.Shopping/aggregator/Services/BasketService.cs;63;38;63;64
AY1VV_s1jmjV2RhC7bLx;SonarQube;CODE_SMELL;csharpsquid:S4487;CRITICAL;5;cwe,unused;ApiGateways/Mobile.Bff.Shopping/aggregator/Services/OrderApiClient.cs;13;49;13;56
AY1VV_s5jmjV2RhC7bLy;SonarQube;CODE_SMELL;external_roslyn:CA1822;INFO;0;;ApiGateways/Mobile.Bff.Shopping/aggregator/Services/OrderingService.cs;30;26;30;39
AY1VV_s5jmjV2RhC7bLz;SonarQube;CODE_SMELL;external_roslyn:CA1822;INFO;0;;ApiGateways/Mobile.Bff.Shopping/aggregator/Services/OrderingService.cs;56;40;56;62
AY1VV_tOjmjV2RhC7bL2;SonarQube;CODE_SMELL;external_roslyn:CS0618;MAJOR;0;;ApiGateways/Mobile.Bff.Shopping/aggregator/Startup.cs;113;16;113;51
AY1VV_skjmjV2RhC7bLr;SonarQube;CODE_SMELL;csharpsquid:S1118;MAJOR;10;design;ApiGateways/Web.Bff.Shopping/aggregator/Config/UrlsConfig.cs;8;21;8;38
AY1VV_skjmjV2RhC7bLs;SonarQube;CODE_SMELL;csharpsquid:S1118;MAJOR;10;design;ApiGateways/Web.Bff.Shopping/aggregator/Config/UrlsConfig.cs;19;21;19;37
AY1VV_skjmjV2RhC7bLv;SonarQube;CODE_SMELL;csharpsquid:S3400;MINOR;5;confusing;ApiGateways/Web.Bff.Shopping/aggregator/Config/UrlsConfig.cs;23;33;23;45
AY1VV_skjmjV2RhC7bLt;SonarQube;CODE_SMELL;csharpsquid:S1118;MAJOR;10;design;ApiGateways/Web.Bff.Shopping/aggregator/Config/UrlsConfig.cs;26;21;26;37
AY1VV_skjmjV2RhC7bLu;SonarQube;CODE_SMELL;csharpsquid:S3400;MINOR;5;confusing;ApiGateways/Web.Bff.Shopping/aggregator/Config/UrlsConfig.cs;28;33;28;46
AY1VV_sOjmjV2RhC7bLn;SonarQube;CODE_SMELL;external_roslyn:CA1822;INFO;0;;ApiGateways/Web.Bff.Shopping/aggregator/Services/BasketService.cs;38;27;38;42
AY1VV_sOjmjV2RhC7bLo;SonarQube;CODE_SMELL;external_roslyn:CA1822;INFO;0;;ApiGateways/Web.Bff.Shopping/aggregator/Services/BasketService.cs;70;38;70;64
AY1VV_sIjmjV2RhC7bLm;SonarQube;CODE_SMELL;csharpsquid:S4487;CRITICAL;5;cwe,unused;ApiGateways/Web.Bff.Shopping/aggregator/Services/OrderApiClient.cs;13;49;13;56
AY1VV_sUjmjV2RhC7bLp;SonarQube;CODE_SMELL;external_roslyn:CA1822;INFO;0;;ApiGateways/Web.Bff.Shopping/aggregator/Services/OrderingService.cs;30;26;30;39
AY1VV_sUjmjV2RhC7bLq;SonarQube;CODE_SMELL;external_roslyn:CA1822;INFO;0;;ApiGateways/Web.Bff.Shopping/aggregator/Services/OrderingService.cs;56;40;56;62
AY1VV_stjmjV2RhC7bLw;SonarQube;CODE_SMELL;external_roslyn:CS0618;MAJOR;0;;ApiGateways/Web.Bff.Shopping/aggregator/Startup.cs;136;16;136;51
AY1VV_vMjmjV2RhC7bMJ;SonarQube;CODE_SMELL;csharpsquid:S3881;MAJOR;10;pitfall;BuildingBlocks/EventBus/EventBusRabbitMQ/DefaultRabbitMQPersistentConnection.cs;12;17;12;52
AY1VV_vMjmjV2RhC7bMI;SonarQube;CODE_SMELL;csharpsquid:S2933;MAJOR;2;confusing;BuildingBlocks/EventBus/EventBusRabbitMQ/DefaultRabbitMQPersistentConnection.cs;21;15;21;24
